number,diameter,height,double height,weight
201942,279.7,71.5,143.0,7.68
201943,299.6,65.5,131.0,8.09
201944,279.7,80.0,160.0,7.13
201945,279.7,80.0,160.0,7.08
201946,299.7,80.0,160.0,7.79
201947,248.8,67.2,134.4,5.14
201948,301.7,35.0,70.0,7.16
201950,299.7,73.6,147.2,9.55
201951,267.7,73.2,146.4,5.84
201952,249.0,69.2,138.4,5.09
201953,339.9,34.3,68.6,10.45
201955,323.0,34.2,68.4,8.929
201956,283.0,48.0,96.0,6.428
201957,290.0,35.0,70.0,4.77
201958,280.0,71.5,143.0,8.51
201959,300.0,73.5,147.0,10.08
202212,213.8,43.2,86.4,2.9
202213,239.9,35.0,70.0,4.0
202215,250.0,49.5,99.0,5.23
202216,239.9,45.2,90.4,3.9
202217,232.0,36.5,73.0,3.58
202227,294.8,29.0,58.0,6.73
202229,257.8,45.0,90.0,3.55
202230,241.8,49.2,98.4,4.46
202231,256.5,49.0,98.0,5.5
202232,240.0,45.4,90.8,4.15
202233,249.4,37.0,74.0,5.1
202234,266.7,39.1,78.2,5.69
202235,213.7,46.3,92.6,2.79
202236,260.0,36.5,73.0,6.12
202237,234.0,45.5,91.0,3.48
202238,250.0,30.0,60.0,4.92
202239,260.0,57.1,114.2,6.39
202240,214.3,46.0,92.0,2.92
202241,214.0,46.2,92.4,2.845
202242,254.0,43.2,86.4,5.145
202243,256.7,52.2,104.4,6.4
202244,232.0,45.0,90.0,3.46
202245,247.0,45.1,90.2,4.09
202246,233.7,39.6,79.2,2.32
202247,280.0,49.5,99.0,6.8
202248,257.5,44.5,89.0,3.35
202249,257.2,45.2,90.4,6.4
202250,276.5,39.0,78.0,7.25
202251,280.0,49.1,98.2,6.57
202252,277.4,45.0,90.0,4.2
202253,240.0,41.0,82.0,2.6
202254,249.6,50.1,100.2,5.3
202255,315.7,80.0,160.0,7.6
202256,279.7,49.2,98.4,7.64
202257,277.6,45.0,90.0,4.22
202261,291.8,62.0,124.0,5.42
202262,299.8,38.0,76.0,8.78
202263,256.8,44.6,89.2,3.3
202264,259.8,43.9,87.8,5.47
202265,305.8,47.0,94.0,10.46
202266,285.8,69.7,139.4,5.42
202267,279.7,49.4,98.8,6.58
202268,237.7,46.2,92.4,3.88
202269,251.7,45.1,90.2,4.85
202270,319.6,49.2,98.4,9.77
202271,307.8,62.1,124.2,5.89
202272,295.8,43.9,87.8,7.15
202273,291.6,62.0,124.0,4.69
202275,295.6,38.0,76.0,7.81
202276,319.5,37.9,75.8,9.28
202277,279.6,43.9,87.8,6.5
202278,259.7,43.9,87.8,5.165
202279,257.0,53.7,107.4,6.2
202280,278.2,44.6,89.2,3.82
202281,307.6,62.8,125.6,6.626
202282,237.7,43.7,87.4,3.875
202283,279.8,44.0,88.0,6.385
202284,291.8,62.0,124.0,4.66
202285,282.6,43.9,87.8,6.98
202286,276.0,45.1,90.2,7.641
202287,290.1,52.9,105.8,8.13
202289,280.0,61.7,123.4,6.536
202290,296.0,44.0,88.0,7.3
202291,289.5,47.0,94.0,5.6
202292,354.5,49.3,98.6,13.21
202293,349.8,62.0,124.0,8.755
202294,295.7,44.0,88.0,0.0
202296,320.0,44.0,88.0,0.0
202297,292.0,47.0,94.0,0.0
202302,227.5,45.7,91.4,3.75
202305,252.2,65.0,130.0,3.85
202306,266.5,142.0,284.0,10.75
202308,256.7,51.5,103.0,5.01
202309,255.5,61.0,122.0,0.0
202310,271.7,50.4,100.8,4.23
202311,238.7,42.5,85.0,3.78
202314,240.2,46.5,93.0,3.62
202319,315.0,164.9,329.8,13.95
202321,280.3,172.9,345.8,13.35
202326,266.6,183.5,367.0,12.6
202327,284.0,39.5,79.0,6.36
202328,257.0,50.7,101.4,4.67
202329,251.0,46.0,92.0,4.14
202331,240.0,46.5,93.0,4.02
202332,305.0,44.4,88.8,7.82
202333,281.0,47.5,95.0,6.38
202334,275.8,51.8,103.6,4.28
202335,281.0,47.5,95.0,6.36
202336,257.2,40.3,80.6,5.11
202337,281.0,44.7,89.4,5.91
202338,290.0,140.3,280.6,14.65
202339,290.1,197.5,395.0,19.45
202341,238.7,42.3,84.6,3.78
202342,259.9,42.6,85.2,4.5
202343,240.2,40.6,81.2,4.12
202344,281.0,43.6,87.2,6.82
202345,289.0,84.6,169.2,9.25
202346,276.0,69.4,138.8,6.6
202347,276.0,72.7,145.4,8.24
202348,257.2,40.6,81.2,5.11
202350,284.0,43.2,86.4,6.05
202351,263.9,40.6,81.2,3.58
202352,285.0,90.5,181.0,6.82
202353,305.0,44.7,89.4,8.69
202354,276.0,66.5,133.0,6.5
202355,293.7,87.6,175.2,8.74
202356,299.9,74.4,148.8,8.78
202357,289.8,64.0,128.0,8.54
202358,290.0,140.6,281.2,15.61
202359,295.8,69.5,139.0,7.5
202360,295.9,69.6,139.2,7.57
202361,300.8,59.0,118.0,10.23
202362,305.8,132.0,264.0,13.4
202363,256.8,40.6,81.2,4.17
202365,257.3,40.5,81.0,4.36
202366,305.0,45.8,91.6,7.816
202367,284.0,43.3,86.6,6.117
202368,251.0,40.6,81.2,3.392
202369,264.0,40.5,81.0,3.645
202506,242.0,69.0,138.0,4.2
202509,262.0,72.8,145.6,5.46
202510,221.0,42.5,85.0,2.8
2025100,316.0,50.9,101.8,10.1
2025101,302.0,50.8,101.6,5.15
2025102,316.0,51.0,102.0,5.72
2025103,278.0,39.9,79.8,6.72
2025104,301.8,61.0,122.0,0.0
2025105,320.0,48.4,96.8,8.58
202511,262.5,72.8,145.6,6.05
202512,239.5,58.3,116.6,4.03
202513,239.5,58.0,116.0,3.48
202514,239.4,58.1,116.2,4.5
202517,270.0,71.2,142.4,5.65
202518,270.0,71.2,142.4,5.8
202520,245.0,27.0,54.0,3.8
202521,260.0,53.0,106.0,6.0
202522,252.8,33.0,66.0,3.38
202523,254.0,31.5,63.0,5.3
202524,260.0,53.3,106.6,5.43
202525,239.2,46.0,92.0,3.97
202526,239.0,43.0,86.0,3.2
202527,322.0,126.0,252.0,15.675
202528,239.5,42.8,85.6,3.9
202529,260.0,58.0,116.0,5.7
202530,239.5,58.1,116.2,4.6
202531,254.0,43.0,86.0,5.8
202532,270.0,43.0,86.0,6.43
202533,260.0,47.0,94.0,5.4
202535,252.3,43.9,87.8,4.12
202536,253.0,33.0,66.0,3.38
202537,260.0,53.3,106.6,5.5
202538,278.0,53.1,106.2,6.63
202539,272.8,42.7,85.4,4.725
202540,259.8,43.9,87.8,5.35
202541,270.1,62.7,125.4,4.64
202542,278.0,47.0,94.0,6.28
202543,239.5,42.9,85.8,3.61
202544,294.0,43.0,86.0,7.11
202545,287.8,55.4,110.8,7.29
202546,268.0,45.7,91.4,4.15
202547,253.8,43.0,86.0,5.8
202548,269.8,43.0,86.0,6.43
202549,258.0,43.4,86.8,5.2
202550,300.0,47.0,94.0,7.1
202551,279.8,34.1,68.2,5.05
202552,294.0,41.0,82.0,5.82
202553,277.9,35.2,70.4,6.3
202554,276.0,42.9,85.8,6.1
202555,277.9,44.4,88.8,7.0
202558,264.8,40.8,81.6,4.1
202564,277.8,53.8,107.6,4.78
202565,286.0,65.7,131.4,7.34
202566,324.0,52.7,105.4,8.44
202567,300.1,44.5,89.0,7.13
202570,315.7,52.0,104.0,10.11
202571,301.7,50.8,101.6,5.07
202572,285.0,58.3,116.6,5.26
202573,300.0,52.0,104.0,8.53
202574,280.0,32.9,65.8,3.93
202575,280.0,54.4,108.8,7.57
202576,300.0,54.4,108.8,8.96
202577,280.0,16.3,32.6,5.509
202578,283.0,55.2,110.4,6.37
202579,280.0,68.8,137.6,8.34
202580,257.9,43.9,87.8,5.778
202581,300.0,52.0,104.0,8.75
202582,278.0,48.6,97.2,6.479
202583,279.8,50.8,101.6,4.639
202584,270.9,40.8,81.6,4.23
202585,277.9,44.9,89.8,7.05
202586,284.0,43.9,87.8,5.975
202587,300.0,54.4,108.8,8.963
202588,278.0,43.9,87.8,6.657
202589,288.0,55.5,111.0,9.66
202590,288.0,68.8,137.6,8.728
202591,300.0,48.5,97.0,8.307
202592,320.0,48.4,96.8,8.846
202593,308.0,55.4,110.8,11.31
202594,308.0,61.0,122.0,11.0
202595,308.0,25.6,51.2,6.55
202596,308.0,22.0,44.0,6.8
202597,308.0,68.8,137.6,9.76
202599,300.0,51.1,102.2,8.84
202605,230.9,44.2,88.4,3.4
202607,241.5,49.6,99.2,4.2
202608,261.6,51.2,102.4,5.0
202612,241.8,44.0,88.0,4.2
202613,239.0,48.4,96.8,3.19
202614,261.5,44.7,89.4,5.01
202615,239.5,45.0,90.0,4.4
202616,259.7,47.2,94.4,5.2
202617,231.0,49.6,99.2,3.82
202618,281.7,34.5,69.0,5.83
202619,259.8,43.1,86.2,3.55
202620,281.7,47.2,94.4,6.1
202621,238.7,47.6,95.2,3.065
202622,281.3,47.0,94.0,5.9
202623,260.0,63.8,127.6,4.18
202624,300.0,47.1,94.2,7.12
202625,281.5,47.1,94.2,6.92
202626,281.7,47.3,94.6,6.2
202627,281.7,58.3,116.6,4.86
202628,239.6,39.2,78.4,4.15
202630,239.5,39.0,78.0,3.77
202631,282.0,57.0,114.0,4.17
202632,259.7,44.7,89.4,5.39
202633,259.7,48.7,97.4,3.7
202634,259.6,48.5,97.0,3.67
202635,300.0,47.0,94.0,6.85
202636,281.8,47.2,94.4,6.38
202637,279.6,47.1,94.2,6.8
202638,259.7,49.2,98.4,3.67
202641,260.0,42.0,84.0,3.32
202642,304.6,57.2,114.4,4.94
202643,260.0,48.1,96.2,3.53
202644,281.8,59.0,118.0,4.12
202645,281.9,61.0,122.0,4.23
202646,299.7,47.2,94.4,8.22
202647,257.7,39.2,78.4,4.83
202648,261.5,44.7,89.4,4.98
202649,296.0,47.2,94.4,8.06
202650,282.0,48.7,97.4,4.08
202651,319.8,47.2,94.4,10.24
202652,304.8,57.2,114.4,4.77
202653,292.9,47.1,94.2,7.99
202654,299.6,47.0,94.0,7.43
202655,259.8,31.1,62.2,3.18
202656,261.7,44.6,89.2,5.0
202657,238.8,33.3,66.6,2.73
202658,300.0,47.0,94.0,8.1
202659,282.0,47.0,94.0,6.1
202660,299.8,47.2,94.4,8.1
202661,280.0,47.1,94.2,6.65
202662,293.0,47.3,94.6,7.381
202663,276.0,31.7,63.4,3.529
202664,302.0,57.1,114.2,5.159
202665,230.7,39.2,78.4,3.06
202666,281.8,47.1,94.2,7.29
202667,261.9,47.1,94.2,5.071
202668,259.4,48.3,96.6,3.51
202669,315.0,47.2,94.4,0.0
203001,229.0,39.5,79.0,3.45
203003,255.0,45.2,90.4,5.26
203005,243.0,34.0,68.0,3.6
203006,276.0,45.0,90.0,5.65
203007,241.9,34.0,68.0,3.68
203008,266.2,45.3,90.6,6.25
203009,265.0,49.2,98.4,3.9
203010,255.0,45.3,90.6,4.63
203011,236.0,33.8,67.6,3.45
203012,256.0,34.0,68.0,4.81
2030129,330.0,58.4,116.8,0.0
203013,265.8,34.0,68.0,5.345
203014,255.3,33.5,67.0,4.61
203016,276.0,45.2,90.4,5.95
203017,277.0,45.0,90.0,6.15
203018,233.9,45.2,90.4,3.63
203019,258.0,45.0,90.0,5.055
203020,234.0,34.0,68.0,3.37
203021,236.0,45.1,90.2,3.6
203022,314.8,84.0,168.0,8.54
