number,diameter,height,double height,weight
203438,255.9,46.8,93.6,4.55
203439,303.3,42.8,85.6,8.2
203440,321.1,50.8,101.6,12.035
203442,284.0,24.9,49.8,3.773
203443,320.0,47.4,94.8,9.407
203444,300.0,24.7,49.4,4.265
203445,280.0,44.4,88.8,6.208
203446,261.9,45.1,90.2,3.723
203448,324.0,66.9,133.8,7.388
203449,275.0,47.4,94.8,6.44
203450,321.0,49.2,98.4,10.792
203451,320.0,56.6,113.2,9.795
203452,345.0,56.5,113.0,12.513
203453,314.0,60.4,120.8,6.6
203454,314.0,60.1,120.2,7.014
203501,241.7,42.6,85.2,4.2
203502,258.0,48.6,97.2,5.61
203503,260.8,39.9,79.8,3.56
203504,284.1,51.0,102.0,6.36
203505,258.0,48.6,97.2,0.0
203506,273.8,47.5,95.0,5.95
203507,257.7,48.5,97.0,5.68
203508,260.5,40.2,80.4,3.66
203509,284.0,51.1,102.2,6.18
203510,234.8,45.1,90.2,4.37
203511,279.8,48.8,97.6,6.9
203512,275.1,47.3,94.6,6.36
203513,258.0,41.3,82.6,3.66
203514,273.8,48.6,97.2,7.32
203516,253.7,50.7,101.4,5.3
203517,241.0,48.7,97.4,3.96
203518,234.0,37.5,75.0,2.94
203519,301.8,54.0,108.0,8.39
203520,314.9,87.5,175.0,8.46
203521,270.0,61.1,122.2,4.2
203522,273.8,50.6,101.2,7.5
203523,256.0,46.6,93.2,5.11
203524,300.0,54.1,108.2,8.62
203525,323.8,69.5,139.0,7.16
203526,280.0,47.2,94.4,7.02
203527,262.0,61.1,122.2,3.89
203529,252.0,48.7,97.4,4.53
203530,314.9,78.5,157.0,7.9
203531,262.0,63.7,127.4,4.2
203532,274.8,61.0,122.0,4.59
203533,258.0,40.5,81.0,3.55
203534,302.0,71.4,142.8,5.85
203535,257.8,56.0,112.0,7.32
203536,280.0,43.9,87.8,6.07
203537,256.0,43.8,87.6,4.62
203538,280.0,44.3,88.6,6.281
203539,262.0,43.9,87.8,3.722
203540,283.4,70.0,140.0,4.98
203541,284.0,25.8,51.6,3.922
203542,284.0,45.0,90.0,4.038
203605,236.0,41.5,83.0,3.11
203606,236.0,41.3,82.6,3.8
203608,236.0,41.0,82.0,3.81
203609,258.0,58.3,116.6,4.6
203610,269.8,67.0,134.0,4.7
203611,257.9,58.4,116.8,5.7
203612,280.0,58.5,117.0,6.44
203613,256.0,41.0,82.0,5.15
203614,245.8,55.5,111.0,5.03
203615,246.0,55.6,111.2,4.425
203616,261.0,80.1,160.2,5.97
203617,255.9,41.0,82.0,4.85
203618,259.8,69.2,138.4,3.76
203619,269.8,77.1,154.2,4.7
203620,285.8,58.3,116.6,7.0
203621,286.0,69.2,138.4,5.28
203622,295.8,58.3,116.6,7.84
203623,269.7,69.2,138.4,4.33
203624,285.7,69.3,138.6,4.81
203625,287.8,42.3,84.6,7.42
203626,270.0,77.0,154.0,4.55
203627,280.0,36.0,72.0,7.33
203628,280.0,36.0,72.0,7.4
203629,255.8,41.1,82.2,4.8
203630,279.8,42.0,84.0,6.35
203631,264.0,43.0,86.0,3.65
203632,255.6,41.1,82.2,3.785
203633,240.0,42.0,84.0,3.05
203634,277.9,52.1,104.2,6.82
203635,313.0,80.0,160.0,7.05
203636,278.0,51.2,102.4,5.04
203637,260.0,41.0,82.0,5.0
203639,305.3,49.8,99.6,9.56
203640,240.0,41.0,82.0,4.02
203641,240.0,41.1,82.2,3.25
203642,247.0,44.0,88.0,3.96
203643,305.0,67.0,134.0,6.66
203644,305.3,77.9,155.8,10.0
203645,284.9,42.1,84.2,6.7
203646,278.0,41.5,83.0,4.42
203647,279.9,102.3,204.6,7.8
203648,301.8,45.0,90.0,8.43
203649,239.7,40.6,81.2,3.04
203650,291.9,41.5,83.0,5.08
203651,279.7,43.2,86.4,6.52
203652,280.0,42.2,84.4,6.6
203653,314.0,45.2,90.4,9.21
203654,307.8,42.0,84.0,8.22
203655,264.0,42.1,84.2,3.71
203657,285.9,69.6,139.2,5.77
203658,279.9,102.3,204.6,8.735
203660,278.0,43.2,86.4,6.3
203662,279.0,83.2,166.4,5.15
203664,277.9,42.0,84.0,3.95
203665,303.0,71.7,143.4,7.24
203666,295.9,51.6,103.2,8.49
203667,296.0,51.0,102.0,6.68
203668,292.0,48.0,96.0,5.52
203669,321.0,50.9,101.8,9.9
203670,315.0,48.0,96.0,8.0
203671,337.0,51.0,102.0,10.97
203672,264.0,40.6,81.2,3.576
203673,320.9,43.5,87.0,9.3
203674,263.9,45.1,90.2,3.745
203675,321.0,45.6,91.2,9.78
203676,315.0,45.0,90.0,7.926
203677,300.0,45.5,91.0,8.575
203678,296.0,44.0,88.0,8.95
203712,247.4,44.3,88.6,4.5
203713,272.6,43.0,86.0,5.25
203716,247.2,34.3,68.6,3.09
203717,290.1,44.1,88.2,4.7
203718,246.8,20.0,40.0,2.65
203719,259.5,28.2,56.4,5.49
203720,282.5,28.0,56.0,7.0
203721,290.2,60.0,120.0,5.18
203722,246.7,35.1,70.2,3.1
203723,282.0,48.0,96.0,7.11
203724,309.0,43.0,86.0,9.42
203725,289.8,51.0,102.0,0.0
203726,304.9,28.0,56.0,7.85
203727,282.8,47.9,95.8,7.12
203728,329.8,48.0,96.0,11.18
203729,289.8,35.0,70.0,4.96
203730,309.8,43.5,87.0,9.51
203731,279.7,82.0,164.0,7.42
203732,279.7,82.0,164.0,7.29
203734,303.7,48.0,96.0,9.78
203735,279.7,48.1,96.2,7.94
203736,289.8,49.0,98.0,5.7
203737,301.8,34.2,68.4,7.64
203738,248.8,73.2,146.4,4.58
203740,289.5,50.0,100.0,5.16
203741,282.8,48.0,96.0,7.05
203742,303.8,48.1,96.2,8.6
203743,289.7,34.9,69.8,4.91
203744,289.7,44.0,88.0,5.175
203745,340.0,48.0,96.0,10.67
203746,266.0,48.0,96.0,5.29
203747,283.0,48.0,96.0,6.67
203748,248.7,34.9,69.8,3.205
203749,268.0,35.0,70.0,4.234
203750,302.0,34.1,68.2,7.538
203751,340.0,34.3,68.6,10.443
203752,330.0,48.0,96.0,0.0
203901,227.8,38.5,77.0,2.75
203905,252.5,53.4,106.8,5.53
203906,238.0,41.0,82.0,2.74
203907,277.8,70.0,140.0,7.3
203908,238.0,41.0,82.0,3.48
203909,237.8,41.4,82.8,4.0
203910,258.5,41.0,82.0,4.75
2039100,300.0,43.0,86.0,8.785
2039101,299.9,43.9,87.8,8.083
2039102,269.0,44.1,88.2,0.0
203911,262.0,44.0,88.0,5.75
203912,262.0,44.0,88.0,5.77
203913,280.0,44.0,88.0,6.9
203914,265.0,44.3,88.6,4.07
203915,265.0,44.3,88.6,4.0
203916,237.9,74.6,149.2,3.68
203917,237.8,74.7,149.4,3.68
203918,237.6,74.6,149.2,3.88
203919,280.0,43.9,87.8,7.15
203920,280.0,61.5,123.0,7.15
203921,280.0,58.0,116.0,6.65
203922,258.8,46.0,92.0,4.95
203923,254.0,54.0,108.0,3.85
203924,254.0,54.0,108.0,3.9
203925,243.7,31.6,63.2,4.5
203926,265.0,31.5,63.0,5.35
203927,238.0,74.5,149.0,3.34
203928,258.5,41.0,82.0,0.0
203929,265.0,54.3,108.6,4.21
203930,279.7,47.0,94.0,7.18
203931,274.0,82.3,164.6,6.32
203932,300.0,47.0,94.0,9.1
203933,323.7,47.0,94.0,11.2
203934,265.0,44.4,88.8,4.09
203935,274.1,82.1,164.2,7.04
203937,240.1,80.6,161.2,4.3
203938,237.7,41.0,82.0,3.55
203939,258.8,41.0,82.0,4.09
203941,280.0,45.1,90.2,5.07
203942,304.9,44.0,88.0,8.37
203943,300.0,84.6,169.2,7.39
203944,237.8,74.7,149.4,4.58
203945,237.6,74.6,149.2,4.78
203946,274.1,82.1,164.2,7.96
203947,300.0,43.7,87.4,8.14
203948,307.9,47.0,94.0,9.9
203949,238.0,46.0,92.0,4.0
203950,285.0,31.8,63.6,5.88
203951,265.0,44.3,88.6,4.07
203952,300.0,82.2,164.4,7.18
203961,308.0,47.0,94.0,9.85
203962,300.0,84.6,169.2,7.39
203963,273.5,84.0,168.0,7.3
203964,240.1,80.6,161.2,4.3
203965,269.9,80.7,161.4,5.61
203966,312.1,63.0,126.0,7.99
203967,274.0,80.2,160.4,7.1
203968,319.6,44.0,88.0,9.45
203969,319.8,43.9,87.8,9.33
203970,280.0,44.0,88.0,6.71
203971,295.9,43.9,87.8,7.871
203972,300.0,81.7,163.4,7.95
203973,260.0,86.1,172.2,6.069
203974,279.9,43.9,87.8,6.66
203975,274.0,88.1,176.2,7.279
203976,302.0,69.8,139.6,9.3
203977,304.9,71.5,143.0,6.44
203978,304.9,71.5,143.0,6.73
203979,301.9,50.9,101.8,7.7
203982,279.9,44.0,88.0,7.11
203986,300.0,103.9,207.8,9.9
203987,300.0,102.8,205.6,9.34
203988,300.0,103.4,206.8,10.17
203989,290.0,91.9,183.8,8.86
203990,270.0,82.4,164.8,6.45
203991,274.0,87.9,175.8,8.3
203992,257.8,43.9,87.8,5.452
203993,259.8,86.2,172.4,6.468
203996,258.0,44.0,88.0,4.697
203997,280.0,44.0,88.0,6.663
204001,298.0,70.2,140.4,6.9
204002,289.6,61.2,122.4,7.15
204003,298.0,70.0,140.0,8.47
204006,238.0,47.2,94.4,3.69
204007,262.5,47.2,94.4,5.0
204009,261.9,51.2,102.4,5.2
204010,284.8,51.2,102.4,6.0
204011,260.0,43.2,86.4,3.51
204012,261.3,44.6,89.2,4.4
204013,283.7,38.2,76.4,5.86
204014,262.1,50.8,101.6,4.91
204015,297.0,64.6,129.2,8.06
204016,276.0,44.0,88.0,5.4
204017,259.0,44.0,88.0,3.4
204018,280.0,61.9,123.8,4.5
204019,304.0,62.6,125.2,6.84
204020,276.8,51.3,102.6,5.8
204021,276.0,53.2,106.4,6.11
204022,297.2,91.4,182.8,8.75
204023,275.0,62.8,125.6,6.6
204024,240.2,43.0,86.0,3.3
204025,344.0,75.8,151.6,12.25
204026,317.0,62.0,124.0,9.97
204027,337.4,61.9,123.8,11.39
204028,325.0,58.7,117.4,7.72
204029,350.0,58.9,117.8,8.83
204031,302.2,66.0,132.0,6.38
204033,302.2,66.0,132.0,7.33
204034,280.0,44.7,89.4,5.41
204035,293.8,44.1,88.2,6.35
204036,259.0,44.0,88.0,3.35
204037,360.0,62.1,124.2,11.61
204038,293.9,44.0,88.0,6.5
204039,298.2,59.1,118.2,7.0
204040,293.9,44.2,88.4,6.34
204041,365.2,75.0,150.0,10.56
204042,380.0,61.9,123.8,14.915
204043,354.0,74.8,149.6,9.183
204044,360.2,81.0,162.0,12.117
204045,344.0,76.0,152.0,11.97
204046,316.0,45.2,90.4,7.517
204047,354.0,74.8,149.6,8.8
204048,280.0,45.1,90.2,0.0
204049,259.0,50.8,101.6,0.0
204050,276.0,44.0,88.0,5.41
204052,350.0,49.0,98.0,0.0
204053,325.0,52.0,104.0,0.0
204101,266.5,51.0,102.0,4.3
204102,269.4,66.1,132.2,4.26
204103,280.0,47.5,95.0,0.0
204104,279.6,65.3,130.6,5.45
204105,279.8,43.6,87.2,5.86
204106,279.8,43.4,86.8,6.1
204107,258.0,43.2,86.4,3.25
204108,279.6,43.9,87.8,6.72
204109,280.0,70.3,140.6,5.78
204110,285.8,69.2,138.4,4.88
204111,300.0,69.1,138.2,6.44
204112,345.0,45.4,90.8,11.925
204302,252.0,54.0,108.0,3.47
204304,235.7,45.5,91.0,3.56
204305,235.8,45.6,91.2,3.62
204306,236.0,48.6,97.2,3.7
204401,230.0,51.9,103.8,3.89
204402,242.0,43.8,87.6,4.18
204403,260.0,56.9,113.8,5.6
204404,266.0,66.8,133.6,4.37
204405,230.4,52.0,104.0,3.89
204406,277.0,56.8,113.6,6.17
204409,242.5,52.9,105.8,4.0
204410,211.9,36.6,73.2,2.9
204411,265.8,67.7,135.4,5.0
204412,293.5,56.7,113.4,6.45
204413,221.0,50.0,100.0,3.05
204414,289.8,67.4,134.8,5.49
204415,290.0,65.8,131.6,4.86
204416,273.8,67.5,135.0,4.66
204417,326.0,52.8,105.6,10.19
204418,285.8,61.7,123.4,4.98
204419,315.8,56.9,113.8,9.95
204420,326.0,52.7,105.4,10.182
204421,315.5,56.6,113.2,10.44
204422,273.8,61.8,123.6,4.638
204423,316.0,65.7,131.4,7.906
204424,316.0,65.8,131.6,7.894
204425,278.0,63.5,127.0,0.0
204426,289.7,63.6,127.2,0.0
204501,200.0,35.5,71.0,0.0
204503,218.0,29.6,59.2,2.975
204508,226.0,31.0,62.0,2.96
2045100,235.0,43.3,86.6,3.7
2045101,312.0,68.2,136.4,6.26
2045102,247.0,35.3,70.6,4.46
2045104,334.0,50.9,101.8,11.3
2045105,334.0,50.9,101.8,11.3
2045106,310.0,67.3,134.6,6.3
2045107,255.0,46.3,92.6,5.1
2045108,275.0,46.3,92.6,6.17
2045109,259.0,30.3,60.6,3.14
2045110,262.6,41.1,82.2,4.06
2045111,278.0,25.0,50.0,3.31
2045112,290.0,57.0,114.0,4.98
2045113,280.6,46.2,92.4,5.88
2045114,281.0,55.0,110.0,4.82
2045115,258.0,46.2,92.4,4.95
2045116,295.0,49.3,98.6,7.74
2045117,296.0,49.3,98.6,7.38
204512,243.0,39.2,78.4,3.3
2045120,273.0,49.2,98.4,6.58
2045121,275.0,46.3,92.6,5.86
2045122,295.0,49.2,98.4,7.83
2045123,270.0,36.7,73.4,3.66
2045124,259.0,30.4,60.8,3.12
2045125,294.8,49.0,98.0,7.67
2045126,279.6,59.0,118.0,4.59
2045129,320.0,49.3,98.6,9.78
2045131,290.0,33.8,67.6,4.44
2045132,275.0,46.5,93.0,5.94
2045133,259.0,40.8,81.6,4.138
2045134,255.0,46.2,92.4,4.77
2045135,291.0,61.2,122.4,4.84
2045136,297.0,58.4,116.8,5.51
2045137,255.0,58.6,117.2,5.79
2045138,256.9,58.4,116.8,5.98
204514,243.0,47.2,94.4,3.94
2045140,297.2,67.4,134.8,6.65
2045142,255.0,49.3,98.6,5.3
2045143,259.0,30.4,60.8,3.13
2045144,269.0,65.0,130.0,4.22
2045145,318.8,67.2,134.4,7.9
2045146,357.0,60.3,120.6,13.2
2045147,357.0,60.3,120.6,13.4
2045148,335.0,65.7,131.4,8.0
2045149,335.0,65.7,131.4,8.0
204515,243.0,47.6,95.2,4.68
2045150,337.9,68.4,136.8,9.9
2045151,360.0,60.7,121.4,12.07
2045152,344.9,61.7,123.4,9.76
2045153,284.7,48.4,96.8,7.336
2045154,258.0,51.4,102.8,5.84
2045155,287.0,48.3,96.6,7.48
2045156,268.6,55.6,111.2,3.532
2045157,255.0,49.2,98.4,4.61
2045158,288.0,60.6,121.2,4.72
2045159,281.0,66.8,133.6,4.82
204516,242.8,45.6,91.2,4.8
2045160,288.0,69.4,138.8,5.14
2045161,329.2,102.6,205.2,7.943
2045162,345.0,76.4,152.8,7.7
2045163,254.9,49.3,98.6,4.4
2045164,275.0,49.4,98.8,6.26
2045165,296.0,50.7,101.4,9.05
2045166,296.0,50.6,101.2,9.04
2045167,296.0,49.3,98.6,7.3
2045168,319.0,49.2,98.4,8.3
2045169,296.0,50.8,101.6,9.05
2045170,277.0,49.2,98.4,6.732
2045171,340.0,83.3,166.6,10.71
2045172,278.9,30.3,60.6,3.95
2045173,275.0,46.3,92.6,6.38
2045174,238.0,48.4,96.8,4.487
2045175,280.0,48.0,96.0,7.79
2045176,328.0,49.4,98.8,9.059
2045177,312.0,67.9,135.8,0.0
2045178,280.0,46.2,92.4,0.0
204520,226.5,41.5,83.0,3.0
204522,302.0,48.0,96.0,6.43
204524,302.0,48.0,96.0,5.8
204525,255.0,41.7,83.4,4.68
204526,238.0,48.2,96.4,4.2
204527,238.0,48.0,96.0,3.58
204528,234.0,38.0,76.0,5.1
204529,226.0,42.0,84.0,3.1
204530,238.0,48.0,96.0,4.83
204532,270.8,52.5,105.0,6.15
204533,268.9,64.5,129.0,4.3
204534,257.7,48.0,96.0,4.95
204535,243.0,47.2,94.4,3.9
204536,255.0,48.0,96.0,5.17
204538,255.0,48.0,96.0,5.05
204539,254.7,49.0,98.0,4.95
204540,255.0,49.3,98.6,5.8
204541,286.0,58.0,116.0,7.035
204542,311.4,58.2,116.4,8.28
204543,255.0,48.0,96.0,4.75
204544,255.2,49.2,98.4,5.16
204545,255.0,46.2,92.4,4.74
204546,290.8,68.3,136.6,5.5
204547,254.8,49.0,98.0,5.58
204548,268.8,64.4,128.8,4.41
204549,275.0,49.4,98.8,6.73
204551,238.0,46.8,93.6,4.29
204552,241.7,36.5,73.0,2.85
204553,231.0,47.2,94.4,3.125
204555,258.0,47.5,95.0,5.0
204556,263.0,46.2,92.4,3.85
204557,275.0,48.3,96.6,6.2
204558,269.0,64.3,128.6,4.0
204559,238.0,42.8,85.6,3.96
204560,279.0,52.6,105.2,6.4
204561,285.0,45.4,90.8,7.47
204562,301.7,46.3,92.6,5.37
204563,254.0,43.0,86.0,3.74
204564,260.0,49.3,98.6,5.53
204565,235.0,43.0,86.0,3.72
204566,228.7,43.3,86.6,3.23
204567,285.2,45.5,91.0,7.62
204568,234.0,20.9,41.8,3.35
204569,254.5,52.7,105.4,5.26
204570,287.6,64.8,129.6,5.0
204571,228.7,43.2,86.4,3.32
204572,255.0,49.3,98.6,5.1
204573,306.7,67.0,134.0,5.6
204574,303.0,62.2,124.4,5.34
204575,312.0,67.8,135.6,6.3
204576,290.8,68.7,137.4,5.7
204577,318.5,70.5,141.0,6.5
204578,275.0,49.2,98.4,6.3
204579,254.8,49.3,98.6,5.05
204580,275.0,49.3,98.6,7.04
204581,268.9,55.7,111.4,3.7
204582,254.8,49.1,98.2,5.2
204583,275.0,49.1,98.2,6.02
204584,257.9,55.9,111.8,3.5
204585,279.0,55.8,111.6,4.088
204586,274.7,49.3,98.6,6.34
204587,265.9,36.3,72.6,3.43
204588,254.9,43.0,86.0,4.74
204589,280.0,55.8,111.6,4.6
204590,277.0,49.5,99.0,6.92
204591,294.9,49.2,98.4,7.73
204592,296.0,49.2,98.4,7.87
204593,271.0,60.8,121.6,4.31
204594,288.0,64.9,129.8,4.99
204595,276.0,49.2,98.4,6.99
204596,275.0,49.4,98.8,7.05
204597,312.8,69.7,139.4,8.32
204598,337.6,67.3,134.6,9.16
204599,239.9,59.7,119.4,3.47
204701,278.0,82.0,164.0,6.0
204704,239.0,38.5,77.0,2.93
204706,239.0,44.5,89.0,2.72
204708,278.0,86.0,172.0,6.31
204709,281.0,90.0,180.0,8.63
2047100,320.8,59.4,118.8,10.23
2047101,238.7,37.9,75.8,3.64
2047102,329.7,68.5,137.0,11.152
2047103,349.7,68.5,137.0,12.07
2047104,329.7,68.5,137.0,11.07
2047105,349.7,68.5,137.0,12.07
2047106,329.7,73.7,147.4,8.52
2047107,320.0,46.1,92.2,9.82
2047108,347.0,59.5,119.0,11.25
2047109,301.7,49.2,98.4,5.3
2047110,329.9,49.1,98.2,7.75
2047111,287.7,35.8,71.6,4.9
2047112,344.9,46.3,92.6,11.88
2047113,299.8,35.9,71.8,6.08
2047114,314.0,75.5,151.0,7.59
2047115,312.0,49.7,99.4,8.6
2047116,285.8,48.3,96.6,4.78
2047117,278.0,118.5,237.0,0.0
2047118,258.0,95.4,190.8,8.15
2047119,226.0,71.3,142.6,4.45
2047120,244.8,83.7,167.4,5.43
2047121,225.7,71.5,143.0,4.52
2047122,298.0,71.4,142.8,7.28
2047123,299.6,68.4,136.8,9.25
2047124,303.0,93.0,186.0,10.04
2047125,359.8,59.4,118.8,13.58
2047126,310.0,42.0,84.0,6.77
2047127,319.8,52.1,104.2,9.8
2047128,344.7,51.8,103.6,10.74
2047129,299.9,36.2,72.4,5.16
2047130,329.9,36.2,72.4,7.76
2047131,255.8,47.8,95.6,4.72
2047132,313.8,52.0,104.0,8.37
2047133,281.8,48.3,96.6,4.6
2047134,311.9,46.2,92.4,8.57
2047135,319.8,46.4,92.8,9.51
2047136,309.9,48.5,97.0,6.8
2047137,271.8,48.3,96.6,3.85
2047138,358.0,73.5,147.0,9.72
2047139,302.9,56.9,113.8,8.38
2047140,320.9,52.2,104.4,10.02
2047141,340.0,49.7,99.4,10.73
2047142,339.8,55.4,110.8,12.3
2047145,339.8,55.4,110.8,12.0
2047146,314.0,49.6,99.2,9.33
2047147,330.0,42.5,85.0,7.75
2047148,302.0,42.4,84.8,5.2
2047149,359.9,68.5,137.0,13.26
2047150,359.9,68.5,137.0,13.23
2047151,359.8,68.7,137.4,13.42
2047152,359.8,68.7,137.4,13.38
2047153,319.8,52.1,104.2,9.989
2047154,344.8,52.1,104.2,11.109
2047155,355.7,52.1,104.2,13.541
2047156,330.0,36.2,72.4,7.904
2047157,255.9,36.6,73.2,4.227
2047158,268.8,53.8,107.6,5.098
2047159,384.9,61.1,122.2,17.423
2047160,300.0,48.3,96.6,5.16
2047161,368.0,68.6,137.2,14.583
2047162,340.0,49.7,99.4,11.708
2047163,310.0,58.6,117.2,6.809
2047165,310.0,34.3,68.6,7.83
2047166,276.0,49.5,99.0,6.5
2047167,323.0,34.3,68.6,0.0
2047168,286.0,58.6,117.2,0.0
2047169,345.0,62.2,124.4,0.0
2047170,356.0,62.4,124.8,0.0
2047171,308.0,55.5,111.0,10.12
204718,255.8,46.2,92.4,4.45
204719,257.0,46.5,93.0,5.0
204720,278.0,118.5,237.0,8.64
204721,280.7,90.0,180.0,8.68
204723,245.0,59.2,118.4,3.52
204724,239.0,38.7,77.4,3.7
204727,258.0,95.4,190.8,8.05
204728,255.8,39.4,78.8,4.28
204730,277.0,57.5,115.0,5.9
204731,257.8,57.5,115.0,5.455
204732,259.8,64.2,128.4,5.4
204733,279.8,64.7,129.4,6.75
204734,244.8,65.2,130.4,3.69
204735,280.0,28.2,56.4,5.66
204736,226.0,71.3,142.6,4.35
204737,255.7,56.1,112.2,4.65
204738,256.0,56.3,112.6,6.8
204739,275.8,56.5,113.0,7.09
204740,279.7,56.3,112.6,6.15
204741,280.0,56.3,112.6,5.17
204742,288.0,46.2,92.4,6.45
204743,288.0,46.5,93.0,7.495
204744,244.4,63.9,127.8,3.63
204745,279.8,46.1,92.2,4.98
204746,281.8,64.7,129.4,7.3
204747,244.9,46.0,92.0,3.36
204748,244.9,39.8,79.6,3.26
204749,244.7,59.2,118.4,3.54
204750,256.0,41.7,83.4,4.55
204751,275.8,46.2,92.4,7.085
204752,279.5,46.0,92.0,5.7
204753,287.7,28.6,57.2,7.2
204754,239.0,33.5,67.0,2.87
204755,279.7,39.2,78.4,6.1
204756,239.0,34.2,68.4,3.78
204757,244.8,83.7,167.4,5.33
204758,255.8,36.7,73.4,5.113
204759,279.9,36.5,73.0,5.81
204760,286.8,34.4,68.8,7.05
204761,232.0,39.5,79.0,2.61
204762,279.9,46.4,92.8,6.23
204763,244.9,47.9,95.8,3.36
204764,244.7,53.7,107.4,3.46
204765,282.3,46.2,92.4,7.28
204766,281.7,55.3,110.6,6.945
204767,279.9,40.4,80.8,5.05
204768,280.0,55.5,111.0,6.81
204769,269.0,46.5,93.0,5.3
204770,254.5,53.8,107.6,3.6
204771,231.8,39.3,78.6,2.66
204772,300.0,56.0,112.0,8.46
204773,312.0,46.0,92.0,8.7
204774,312.0,34.0,68.0,8.03
204775,256.0,36.5,73.0,4.3
204776,239.0,34.0,68.0,3.03
204777,244.7,46.3,92.6,3.38
204778,245.0,40.0,80.0,3.16
204779,239.0,33.0,66.0,2.65
204780,313.8,59.4,118.8,10.26
204781,269.0,59.0,118.0,5.28
204782,255.0,39.7,79.4,3.84
204783,313.0,56.3,112.6,9.17
204784,254.7,47.6,95.2,3.6
204785,255.8,39.2,78.4,5.9
204786,345.0,49.5,99.0,12.14
204787,279.9,49.4,98.8,5.941
204788,287.8,49.7,99.4,7.32
204789,254.7,51.2,102.4,3.54
204790,309.9,48.5,97.0,0.0
204791,323.0,59.5,119.0,10.52
204792,275.8,56.1,112.2,7.0
204794,259.8,48.4,96.8,4.2
204795,308.0,55.2,110.4,10.34
204796,333.0,55.4,110.8,11.6
204797,293.7,44.2,88.4,6.91
204798,268.9,46.3,92.6,4.98
204799,313.8,59.4,118.8,8.78
204801,268.5,58.0,116.0,5.42
204802,272.0,69.0,138.0,5.15
204803,293.0,88.0,176.0,5.37
204806,263.0,65.0,130.0,5.04
204807,281.0,73.5,147.0,4.85
204808,232.5,48.5,97.0,0.0
204809,263.2,67.3,134.6,5.7
204810,263.0,64.4,128.8,5.99
204811,238.9,29.2,58.4,3.7
204812,262.0,91.0,182.0,7.15
204814,287.0,90.0,180.0,8.31
204823,259.7,39.9,79.8,4.1
204824,227.8,39.4,78.8,2.58
204826,286.5,56.2,112.4,6.54
204827,265.0,53.3,106.6,4.07
204828,262.0,55.9,111.8,5.37
204829,279.8,50.2,100.4,6.46
204830,295.0,72.3,144.6,5.02
204831,279.8,56.5,113.0,6.28
204832,279.8,50.7,101.4,6.41
204833,295.0,72.3,144.6,4.96
204835,255.8,40.0,80.0,4.69
204836,228.0,68.3,136.6,4.0
204837,301.8,50.2,100.4,7.11
204838,283.0,62.0,124.0,0.0
204839,281.0,46.0,92.0,6.23
204840,259.8,41.0,82.0,3.41
204841,286.0,50.3,100.6,6.78
204842,304.7,50.0,100.0,9.15
204843,288.0,64.7,129.4,5.38
204844,265.0,71.0,142.0,4.45
204845,276.7,71.0,142.0,4.58
204846,283.5,62.0,124.0,4.58
204847,280.0,40.8,81.6,4.44
204848,278.1,48.5,97.0,7.1
204849,300.0,48.5,97.0,8.22
204850,320.0,48.5,97.0,9.66
204851,315.7,50.2,100.4,8.49
204852,308.0,64.8,129.6,6.94
204853,335.8,51.2,102.4,11.11
204854,287.9,64.0,128.0,5.11
204856,336.0,52.0,104.0,11.44
204857,301.6,40.7,81.4,4.965
204858,302.0,40.8,81.6,6.69
204859,302.0,69.3,138.6,6.47
204860,328.0,52.0,104.0,12.26
204861,302.0,50.9,101.8,7.27
204862,319.8,50.2,100.4,8.902
204863,278.0,48.5,97.0,6.502
204864,300.0,48.5,97.0,7.37
204865,280.0,40.9,81.8,4.411
204866,329.9,50.3,100.6,9.845
204867,330.0,47.9,95.8,9.58
205001,235.7,35.3,70.6,3.62
205002,278.3,40.5,81.0,5.94
205003,299.0,67.5,135.0,5.7
205004,256.0,47.0,94.0,5.6
205005,258.0,64.6,129.2,4.5
205006,255.8,46.8,93.6,5.45
205007,258.0,64.5,129.0,4.54
205008,235.7,41.0,82.0,3.86
205009,256.0,47.2,94.4,5.48
205010,255.8,47.2,94.4,5.58
205011,257.8,57.5,115.0,4.3
205012,256.0,47.0,94.0,5.47
205013,276.0,45.5,91.0,6.92
205014,267.9,45.1,90.2,4.7
205015,299.9,45.5,91.0,8.46
205016,292.2,44.9,89.8,5.34
205017,276.0,58.2,116.4,5.26
205018,277.8,47.1,94.2,6.8
205019,256.0,45.5,91.0,5.62
205102,207.8,28.0,56.0,2.61
205104,234.0,47.2,94.4,3.33
205105,233.7,47.2,94.4,3.32
205106,233.8,47.0,94.0,3.8
205107,277.0,29.5,59.0,4.71
205108,276.9,32.4,64.8,4.8
205109,210.8,41.0,82.0,2.64
205110,234.0,36.9,73.8,3.935
205111,233.8,41.0,82.0,3.3
205112,273.0,37.8,75.6,5.35
205113,210.5,34.9,69.8,3.48
205114,244.0,41.9,83.8,4.09
205201,289.5,45.9,91.8,4.86
205202,215.1,33.0,66.0,2.6
205203,289.5,46.1,92.2,4.5
205204,250.0,46.7,93.4,4.2
205205,230.8,50.0,100.0,3.35
205206,234.8,49.5,99.0,3.92
205207,287.0,46.2,92.4,4.48
205208,245.8,49.8,99.6,4.7
205209,231.0,48.8,97.6,3.4
205210,310.0,29.0,58.0,5.8
205211,256.8,49.3,98.6,4.4
205212,286.4,28.9,57.8,4.1
205213,252.7,49.1,98.2,4.03
205214,251.7,40.0,80.0,4.58
